P0	P1	P2	P3	P4	DFO	DIL	DFI	DOL	allsites
bic_1	SPC.3.1	Car-L8.1b	CARC3.1	V480	0.256124	0.273455	0.01582	0.0423	596125
bic_1	SPC.3.1	Car-L8.1b	CAR-C4.1	V480	0.218939	0.237187	0.012864	0.041504	603398
bic_1	SPC.3.1	Car-L8.1b	CED1.1	V480	0.209038	0.225769	0.014734	0.041169	599843
bic_1	SPC.3.1	Car-L8.1b	CED2.1	V480	0.169157	0.18546	0.014549	0.041124	608578
bic_1	SPC.3.1	Car-L8.1b	CED3.1	V480	0.359591	0.374967	0.017585	0.039386	576018
bic_1	SPC.3.1	Car-L8.1b	CUY1.1	V480	0.291555	0.310236	0.011407	0.03935	585994
bic_1	SPC.3.1	Car-L8.1b	CUY.2.1	V480	0.301352	0.318773	0.011861	0.037749	585369
bic_1	SPC.3.1	Car-L8.1b	CUY3.1	V480	0.279781	0.298304	0.012496	0.040322	590485
bic_1	SPC.3.1	Car-L8.1b	GRM4.1	V480	0.224697	0.241174	0.015502	0.041225	597605
bic_1	SPC.3.1	Car-L8.1b	GRM5.1	V480	0.240779	0.2579	0.01397	0.040363	596776
bic_1	SPC.3.1	Car-L8.1b	IND2.1	V480	0.226503	0.242921	0.015428	0.041097	601746
bic_1	SPC.3.1	Car-L8.1b	IND5.1	V480	0.226236	0.242144	0.015029	0.039901	601830
bic_1	SPC.3.1	Car-L8.1b	IND6.1	V480	0.192326	0.208223	0.016169	0.041656	608723
bic_1	SPC.3.1	Car-L8.1b	MNZ1.1	V480	0.26125	0.279525	0.014201	0.042053	592326
bic_1	SPC.3.1	Car-L8.1b	MNZ2.1	V480	0.293851	0.311635	0.013757	0.040366	588082
bic_1	SPC.3.1	Car-L8.1b	ONC1.1	V480	0.24847	0.265108	0.014124	0.039709	597800
bic_1	SPC.3.1	Car-L8.1b	ONC2.1	V480	0.245188	0.261493	0.015057	0.040221	598320
bic_1	SPC.3.1	Car-L8.1b	ONC3.1	V480	0.19248	0.20931	0.01393	0.040917	608954
bic_1	SPC.3.1	Car-L8.1b	RED11.1	V480	0.210311	0.226166	0.016266	0.041366	604803
bic_1	SPC.3.1	Car-L8.1b	RED15.1	V480	0.253552	0.268952	0.015847	0.039456	597322
bic_1	SPC.3.1	Car-L8.1b	RED17.1	V480	0.199954	0.216196	0.015915	0.04179	607133
bic_1	SPC.3.1	Car-L8.1b	RED18.1	V480	0.202316	0.219462	0.014868	0.042115	607191
bic_1	SPC.3.1	Car-L8.1b	RED9.119	V480	0.234538	0.251502	0.015031	0.041357	600729
bic_1	SPC.3.1	Car-L8.1b	SHV.1.1	V480	0.291353	0.310327	0.013043	0.041289	587827
bic_1	SPC.3.1	Car-L8.1b	SLA1.1	V480	0.219772	0.236921	0.014356	0.041244	603746
bic_1	SPC.3.1	Car-L8.1b	SLA3.1	V480	0.209382	0.226247	0.014897	0.041557	605682
bic_1	SPC.3.1	Car-L8.1b	SLA5.1	V480	0.197229	0.214375	0.014104	0.041537	606896
bic_1	SPC.3.1	Car-L8.1b	WFM1.1	V480	0.252451	0.271341	0.011762	0.040815	594004
bic_1	SPC.3.1	Car-L8.1b	WFM2.2	V480	0.291585	0.309673	0.014388	0.04146	587486
bic_1	SPC.3.1	Car-L8.1b	WFM3.1	V480	0.286196	0.302291	0.015419	0.03957	589657
bic_1	SPC.3.1	Holly	ARS.1.1	V480	0.275275	0.290933	0.041632	0.064461	593693
bic_1	SPC.3.1	Holly	ARS2.1	V480	0.271126	0.286455	0.041511	0.063919	592033
bic_1	SPC.3.1	Holly	ARS3.1	V480	0.211747	0.227052	0.042368	0.065721	605653
bic_1	SPC.3.1	Holly	CAR-C27.1	V480	0.256931	0.270744	0.043505	0.063782	600800
bic_1	SPC.3.1	Holly	CARC3.1	V480	0.251258	0.267165	0.04332	0.066791	600319
bic_1	SPC.3.1	Holly	CAR-C4.1	V480	0.21487	0.23082	0.040722	0.064911	607607
bic_1	SPC.3.1	Holly	CED1.1	V480	0.205099	0.219133	0.04439	0.065793	604163
bic_1	SPC.3.1	Holly	CED2.1	V480	0.165414	0.179688	0.043154	0.065619	612956
bic_1	SPC.3.1	Holly	CED3.1	V480	0.35489	0.368398	0.047017	0.065472	580123
bic_1	SPC.3.1	Holly	CUY1.1	V480	0.286894	0.302768	0.041063	0.063959	590187
bic_1	SPC.3.1	Holly	CUY.2.1	V480	0.296837	0.311834	0.040824	0.062334	589547
bic_1	SPC.3.1	Holly	CUY3.1	V480	0.275868	0.292112	0.041502	0.065028	594547
bic_1	SPC.3.1	Holly	GRM4.1	V480	0.221387	0.237185	0.042793	0.066575	601808
bic_1	SPC.3.1	Holly	GRM5.1	V480	0.237366	0.253421	0.040826	0.064711	600897
bic_1	SPC.3.1	Holly	IND2.1	V480	0.222319	0.237067	0.043251	0.065502	605928
bic_1	SPC.3.1	Holly	IND5.1	V480	0.221747	0.236028	0.042963	0.064509	606051
bic_1	SPC.3.1	Holly	IND6.1	V480	0.188547	0.20266	0.043599	0.065455	612938
bic_1	SPC.3.1	Holly	MNZ1.1	V480	0.256845	0.273274	0.042441	0.066598	596600
bic_1	SPC.3.1	Holly	MNZ2.1	V480	0.289698	0.304397	0.044564	0.065762	592221
bic_1	SPC.3.1	Holly	ONC1.1	V480	0.244549	0.259276	0.042766	0.064624	601930
bic_1	SPC.3.1	Holly	ONC2.1	V480	0.240171	0.254917	0.042997	0.06497	602564
bic_1	SPC.3.1	Holly	ONC3.1	V480	0.18788	0.203467	0.041209	0.065352	613335
bic_1	SPC.3.1	Holly	RED11.1	V480	0.206664	0.220238	0.044523	0.065277	609077
bic_1	SPC.3.1	Holly	RED15.1	V480	0.249472	0.262943	0.043171	0.063118	601481
bic_1	SPC.3.1	Holly	RED17.1	V480	0.196167	0.210923	0.043332	0.066032	611422
bic_1	SPC.3.1	Holly	RED18.1	V480	0.197729	0.213773	0.041508	0.066135	611507
bic_1	SPC.3.1	Holly	RED9.119	V480	0.230371	0.245426	0.04331	0.065852	604969
bic_1	SPC.3.1	Holly	SHV.1.1	V480	0.28715	0.306065	0.038912	0.066089	591952
bic_1	SPC.3.1	Holly	SLA1.1	V480	0.215622	0.230866	0.041335	0.064454	607901
