dummycol,Name,Short_name,Species,region,Location,lat,lon,elevation,petal_width_(mm),cor_ap_wid_(mm),cor_ap_len_(mm),corolla_ap_(len/wid),pistil_len_(mm),Date_tissue_collected,Date_seeds_collected,anthers?,Wire,date_extracted,Notes
23,Redwood_Creek_11,RED11.1,cardinalis,central,Redwood_Creek_Fresno_CA,36.704829,-118.915415,1980,ND,ND,ND,ND,ND,ND,10/8/10,ND,ND,ND,ND
24,Redwood_Creek_15,RED15.1,cardinalis,central,Redwood_Creek_Fresno_CA,36.704829,-118.915415,1980,ND,ND,ND,ND,ND,10/8/10,10/8/10,ND,ND,ND,ND
25,Redwood_Creek_17,RED17.1,cardinalis,central,Redwood_Creek_Fresno_CA,36.704829,-118.915415,1980,ND,ND,ND,ND,ND,ND,10/8/10,ND,ND,ND,ND
26,Redwood_Creek_18,RED18.1,cardinalis,central,Redwood_Creek_Fresno_CA,36.704829,-118.915415,1980,ND,ND,ND,ND,ND,ND,10/8/10,ND,ND,ND,ND
27,Redwood_Creek_9,RED9.119,cardinalis,central,Redwood_Creek_Fresno_CA,36.704829,-118.915415,1980,ND,ND,ND,ND,ND,10/8/10,10/8/10,ND,ND,10/26/10,ND
28,Summerhaven_1,SHV.1.1,cardinalis,Arizona,ND,32.44,-110.76,ND,ND,ND,ND,ND,ND,07.29.11,07.29.11,ND,ND,ND,ND
29,Slate_Creek_1,SLA1.1,cardinalis,central,Slate_Creek_Yuba_CA,39.583598,-121.061912,980,ND,ND,ND,ND,ND,10/6/10,10/6/10,ND,ND,ND,ND
30,Slate_Creek_3,SLA3.1,cardinalis,central,Slate_Creek_Yuba_CA,39.583598,-121.061912,980,ND,ND,ND,ND,ND,10/6/10,10/6/10,ND,ND,ND,ND
31,Slate_Creek_4,SLA4.1,cardinalis,central,Slate_Creek_Yuba_CA,39.583598,-121.061912,980,ND,ND,ND,ND,ND,10/6/10,10/6/10,ND,ND,ND,ND
32,Slate_Creek_5,SLA5.1,cardinalis,central,Slate_Creek_Yuba_CA,39.583598,-121.061912,980,ND,ND,ND,ND,ND,10/6/10,10/6/10,ND,ND,ND,ND
33,West_Fork_Mojave_1,WFM1.1,cardinalis,southern,West_Fork_Mojave_River_San_Bernadino_CA,34.285,-117.379,1160,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
34,West_Fork_Mojave_2,WFM2.2,cardinalis,southern,West_Fork_Mojave_River_San_Bernadino_CA,34.285,-117.379,1160,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
35,West_Fork_Mojave_3,WFM3.1,cardinalis,southern,West_Fork_Mojave_River_San_Bernadino_CA,34.285,-117.379,1160,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
36,Fall_Creek_6,FAL6.1b,lewisii,Sierran,Nevada_County_CA,39.390969,-120.670481,ND,ND,ND,ND,ND,ND,8/20/10,8/20/10,ND,ND,ND,ND
37,Fall_Creek_7,FAL7.1,lewisii,Sierran,Nevada_County_CA,39.390969,-120.670481,ND,ND,ND,ND,ND,ND,8/20/10,8/20/10,ND,ND,ND,ND
38,Fall_Creek_8,FAL8.1,lewisii,Sierran,Nevada_County_CA,39.390969,-120.670481,ND,ND,ND,ND,ND,ND,8/20/10,8/20/10,ND,ND,ND,ND
39,ND,FTB1,lewisii,Sierran,ND,39.390969,-120.670481,ND,ND,ND,ND,ND,ND,8/20/10,8/20/10,ND,ND,ND,ND
40,ND,Holly,lewisii,Sierran,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
41,HST_1,HST1.1,lewisii,Sierran,Tulare_County_CA,36.556568,-118.719807,ND,ND,ND,ND,ND,ND,8/25/10,8/25/10,ND,ND,10/26/10,ND
42,HST_2,HST2.1,lewisii,Sierran,Tulare_County_CA,36.556568,-118.719807,ND,ND,ND,ND,ND,ND,8/25/10,8/25/10,ND,ND,ND,ND
43,HST_5,HST5.1b,lewisii,Sierran,Tulare_County_CA,36.556568,-118.719807,ND,ND,ND,ND,ND,ND,8/25/10,8/25/10,ND,ND,ND,ND
44,Jackson_Creek_1,JAC1.1,lewisii,Sierran,ND,39.457634,-120.602546,ND,ND,ND,ND,ND,ND,8/21/10,8/21/10,ND,ND,10/26/10,ND
45,Jackson_Creek_2,JAC2.1,lewisii,Sierran,ND,39.457634,-120.602546,ND,ND,ND,ND,ND,ND,8/21/10,8/21/10,ND,ND,ND,ND
46,Jackson_Creek_4,JAC4.1,lewisii,Sierran,ND,39.457634,-120.602546,ND,ND,ND,ND,ND,ND,8/21/10,8/21/10,ND,ND,ND,ND
47,LH2.17,LH217.1,lewisii,Sierran,P3,39.752568,-120.747814,ND,7,13,8,0.615384615,16,8/12/10,10/5/10,ND,yellow,ND,ND
48,LH2.23,LH223.1,lewisii,Sierran,P3B,39.752568,-120.747814,ND,6,12,8,0.666666667,16,8/12/10,10/5/10,ND,white,ND,ND
49,LH2.66,LH266.1,lewisii,Sierran,rd-low2,39.752568,-120.747814,ND,ND,ND,ND,ND,ND,8/15/10,10/5/10,ND,yellow,ND,ND
50,Pilot_Peak_1,PPK1.1,lewisii,Sierran,ND,39.784796,-120.863965,ND,ND,ND,ND,ND,ND,10/6/10,10/6/10,ND,ND,ND,ND
51,Pilot_Peak_5,PPK5.1,lewisii,Sierran,ND,39.784796,-120.863965,ND,ND,ND,ND,ND,ND,10/6/10,10/6/10,ND,ND,ND,ND
52,Pilot_Peak_8,PPK8.1,lewisii,Sierran,ND,39.784796,-120.863965,ND,ND,ND,ND,ND,ND,10/6/10,10/6/10,ND,ND,ND,ND
53,Snow_Creek_8,SNO8.1,lewisii,Sierran,ND,37.818531,-119.509363,ND,ND,ND,ND,ND,ND,10/7/10,10/7/10,ND,ND,ND,ND
